,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin,Clarithromycin,Doxycycline,Enrofloxacin,Erythromycin_H2O,Lincomycin,Ofloxacin,Oxytetracycline,Roxythromycin,Sulfadiazine,Sulfamethazine,Sulfamethoxazole,Trimethoprim,pH,Salinity,DOC,DO,Temperature,NO3,PO4
79,0.29842455,0,0.724709427,1.411202186,0.405396175,3.438237408,0.48698124,0.278418797,1.303813109,0,5.423913043,0.94375913,1.62097682,0,0.233199331,1.609450338,0,3.414057849,2.517521736,8.4,25.1,0.9713,9.24,28,0.01,0.332
80,0.362017446,0.287886124,0.922414741,0.844907407,0.661458333,3.224448139,1.346969826,0.251604327,1.364320032,0.166405112,3.49537037,0.842821782,1.558548278,0,0.242180864,2.361519608,0,2.320617206,2.850202429,8.2,23.2,1.8028,9.07,30.7,0.099,0.211
81,0.278566558,0.272808435,0.774182418,1.240508534,0.336206897,2.811019125,0,0.123958824,0.660752926,0.101856137,3.184343434,0,0.870375587,0,0.057645638,1.582565001,0,0.539396074,0.607141497,8.2,23.1,1.7373,8.94,31.3,0.104,0.308
82,0.496693526,0,0.795666926,1.771317829,0,2.700170623,3.147124213,0.14561702,0.854951081,0,1.260299625,0,2.112550407,0,0.128774362,1.455491499,0,0.903952546,0.272929641,8.2,23.4,1.79,9.21,31.6,0.094,0.273
83,0,0,0.398979687,3.222222222,0.713888889,3.354433353,1.057012072,0.11686068,1.050687535,0,4.638888889,0,1.693947015,0,0.070457839,1.31372549,0,0.624361168,0.356950067,8.2,23.6,1.5619,10.99,31.1,0.081,0.293
84,0.350123507,0.388182566,0.301137836,2.318181818,0,2.395437263,2.248912899,0.07769023,0.934846341,0,2.477748691,0,1.722675862,0,0.055022816,2.808823529,0,0.628533324,1.198564593,8.2,23.4,1.685,10.34,31.6,0.086,0.2
85,0,0.350088204,0.553980398,2.30657069,0.067275748,2.175307722,2.104247308,0.067621643,0.630042655,0,0.922558923,0,1.666068428,0,0.047832315,1.079294509,0,0.740247023,0.556733964,8.1,23.5,0.6984,7.67,27.8,0.02,0.209
86,4.044476673,0,1.651377218,2.383838384,0.140572391,3.856971158,1.114891812,0.895038571,1.324745616,0.181915118,6.381808279,6.949994999,5.011855132,0,1.094277796,1.872994652,0,3.828264575,3.729951335,8.1,24.1,1.5084,7.64,29.5,0.075,0.218
87,4.809244088,0.423713946,1.678705375,3.177454153,0.421925566,4.63304207,0,1.528645854,1.602468551,0,14.40771812,9.006632702,5.083371214,0.222538382,1.423171282,2.830239863,0.314957224,8.005750707,3.448154554,8.2,24.3,1.6302,8.02,28.2,0.201,0.151
88,2.693659634,0,2.156627405,3.604994903,0.360856269,3.811388441,0,1.151074501,1.56537823,0,5.731785064,6.420928331,5.334462659,0,1.035618377,2.282649757,0.241120901,7.331586587,3.087453107,8.2,24.2,0.5761,8.03,28.9,0.069,0.272
89,1.38779784,0.669948573,0.95402483,1.201213819,0.278011204,4.02721293,0.978947112,0.889565572,1.283711682,0,4.026836158,3.7239371,3.44791504,0,0.748970539,2.15385566,0,5.80085862,2.340302113,8.3,24.3,0.08,8.27,27.8,0.005,0.32
90,0.559870982,0.520099562,1.458375702,2.211279461,1.230113636,2.734336391,1.081272724,1.090925791,0.803446889,0.107852377,1.844594595,0.558730873,13.4032202,0,0.555167901,9.504456328,0,1.03630671,1.066678935,8.2,24.3,0.9544,8.19,28.5,0.183,0.223
91,0,0,1.704055535,1.480974125,0.877853881,1.968165495,1.217538381,1.041226273,0.89397941,0,3.702898551,0.165943307,9.936246484,0,0.643009185,1.328162772,0,0.7672043,0,8.2,24.6,1.0662,8.38,28.4,0.143,0.262
92,0,0,0.660417106,0.989916963,0.266310795,3.24058523,0.500233114,0.435487869,0.58645698,0,2.930851064,0,4.829057806,0,0.231333092,1.547571698,0,1.014797326,0,8.2,24.8,1.0615,7.56,28,0.051,0.273
93,0,0,2.03,3.355,0.4445,6.75,1.2,0.3565,0.46,0.178,1.385,0.353,0.915,0,0.2125,1.3,0,1.155,0.3715,8.5,27.8,6.11,12.3,6.2,0.008,0.108
94,0,0,1.465,2.12,0.54,6.3,1.365,0.1595,0.389,0.115,1.795,0.347,0.2785,0,0.1295,0.31,0,1.095,0.2645,8.49,27.7,6.155,12.26,7,0.008,0.128
95,0,0,1.1,5.5,0.3255,5.55,0.4295,0.418,0.3105,0,1.385,0.52,4.285,0,0.38,0.477,0,1.215,0.376,8.52,27.7,5.297,12.64,6.6,0.228,0.12
96,0,0,1.15,1.46,0.2175,5.35,0.4425,0.182,0.3565,0.22,1.44,0.192,1.31,0,0.227,0.6,0,0.457,0.219,8.51,27.7,5.67,12.14,7,0.016,0.082
97,0,0,1.36,2.615,0.1775,6.05,0,0.128,0.3975,0.1225,1.885,0.179,0.452,0,0.1735,0.221,0,0.4685,0.3755,8.5,27.8,5.807,12.43,6.1,0.011,0.003
98,0,0,1.48,1.605,0.204,7.1,1.57,1.79,0.545,0.54,4.595,1.42,0.2425,0,0.975,0.222,0,1.305,9.95,8.08,11.2,19.015,12.6,7.2,2.701,0.098
99,0,0,0.98,3.9,0.0905,4.835,5.45,1.295,0.52,5.15,4.13,1.195,9.35,5.55,0.535,0.56,0,1.105,0.885,8.1,8.44,19.468,13.19,7.5,5.555,0.166
100,0,0,1.6,3.155,0.3845,7,3.33,1.68,0.505,2.245,8.95,1.435,0.52,74.5,0.825,0.421,0,1.185,1.075,8.37,13.7,20.168,13.23,7.2,5.08,0.116
101,0,0,1.485,1.77,0.545,5.7,2.97,1.21,0.4585,1.08,4.82,2.255,0.4295,4.775,0.915,0.471,0,2.27,1.025,8.42,8.72,19.153,14.99,7.4,8.502,0.14
102,0,0,0.845,1.56,0.425,6.75,1.735,1.355,0.382,0.2405,4.04,1.255,0,1.595,2.3,0.4675,0,1.58,7.7,8.38,8.66,18.007,15.36,7.6,3.181,0.099
103,18.3,0,11.2,3.015,0.8,16.3,1.245,38.2,1.215,0,38.15,9.9,5.15,0.4715,55,2.18,0.2275,12,23.15,8.5,27,4.551,12.48,6.2,0.017,0.001
104,21.5,0.448,38.8,3.48,1.12,24.6,2.435,56.5,0.94,0.469,77.5,19.2,48.35,0.955,63,7.15,0.401,19.9,20.15,8.52,26.8,5.511,12.65,5.5,0.007,0.002
105,3.27,0,6.5,3.155,0.8,25.5,1.78,22.85,0.805,0.1755,29.9,9.35,11.05,0.3845,38.4,6.75,0,10.7,11.35,8.49,27.6,5.877,12.53,6.3,0.001,0.001
