,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin,Clarithromycin,Doxycycline,Enrofloxacin,Erythromycin_H2O,Lincomycin,Ofloxacin,Oxytetracycline,Roxythromycin,Sulfadiazine,Sulfamethazine,Sulfamethoxazole,Trimethoprim,pH,Salinity,DOC,DO,Temperature,NO3,PO4
45,0,0,0,0,0.338112306,1.686883515,0.571829522,0.060569365,0.407548054,0,0.24513382,0,0,0,0,0.581857474,0,5.102872207,0.260161363,8.02,34.25,2.679,8.02,15.851,0.018,0.029
46,0,0,0.138006408,0,0,1.438357531,0.526356892,0.063874903,0.413484571,0,0.263888889,0,0.156567259,0,0,0.531938962,0,4.753920156,0.409208373,8.05,34.2,2.656,8.41,16.62,0.078,0.018
47,0.264596811,0.273652169,0.368279743,1.085978836,0,1.352964407,1.531907739,0.550526737,0.428585537,0,1.257600434,0,0.613690194,0,0.061166602,1.880952381,0,1.573981595,0.380084827,8.25,34.34,2.685,8.07,15.749,0.108,0.013
48,0,0,0.374956113,0.887835703,0,1.167076044,1.172702416,0.405409348,0.469837571,0,3.072695035,0,0.675990112,0,0.044601787,3.770630053,0,1.490961438,0.357973406,7.99,35.44,2.647,7.86,17.81,0.118,0.053
49,0.369424854,0.419226703,0.444198367,1.196502058,0.123649691,1.203525116,2.017938713,0.351158769,0.45396399,0,1.500487329,0,0.547357569,0,0.022975149,0.865059913,0,1.760029445,0.167547608,7.97,35.48,2.653,7.84,17.93,0.128,0.057
50,0.630717735,0,0.432908569,1.544589058,0.070137383,1.322958985,1.111160277,0.394718672,0.257972069,0,1.809670782,0,0.507799829,0.190299973,0.023787365,0.748086002,0,1.539201831,0.452558687,8.01,35.47,2.656,7.89,17.998,0.048,0.035
51,0,0.27041718,0.750764415,1.271825397,0,1.745779748,1.281116256,0.421519515,0.584043289,0,1.479166667,0,0.432963064,0,0.030654534,0.983718487,0,1.664776972,0.2873048,8.02,35.4,2.673,7.84,17.88,0.108,0.016
52,0,0,0.750755696,4.447089947,0.088095238,1.55657401,2.439321548,1.022007562,0.431326957,0.123231207,1.355769231,0.092880717,1.562952899,0,0.063432127,0.943277311,0,2.374108581,0.669269327,8,35.43,2.727,7.78,17.982,0.048,0.033
53,0.560200458,0,0.578367122,1.331679315,0,0.85963618,0.377537283,1.329174244,0.482428646,0,1.527777778,0,1.361780816,0,0.02935185,0.939038838,0,3.539456305,1.021692889,7.91,34.54,3.753,8.14,16.158,0.128,0.015
54,0,0,1.026090144,1.742490047,0.128528773,1.331708085,0.980300188,1.41126806,0.562386677,0,2.163043478,0,1.887449187,0,0.028075171,0.734671393,0,3.79827396,0.837944586,7.86,34.54,3.813,7.7,16.189,0.108,0.027
